DAC_MAX,Complexity,DAC_MIN,Complexity.1,MAX,Complexity.2,MIN,Complexity.3,Brute_MAX,Complexity.4,Brute_Min,Complexity.5
1,1,1,1,1,1,1,1,1,0,1,0
3,2,3,2,3,3,3,3,3,3,3,3
4,3,4,3,4,4,4,4,4,5,4,5
4,3,4,3,4,4,4,4,4,6,4,6
6,5,6,5,6,6,6,6,6,15,6,15
7,6,7,6,7,7,7,7,7,18,7,18
8,7,8,7,8,8,8,8,8,27,8,27
9,8,9,8,9,9,9,9,9,33,9,33
9,8,9,8,9,9,9,9,9,33,9,33
15,14,15,14,15,15,15,15,15,105,15,105
15,14,15,14,15,15,15,15,15,105,15,105
18,17,18,17,18,18,18,18,18,153,18,153
18,17,18,17,18,18,18,18,18,152,18,152
20,19,20,19,20,20,20,20,20,175,20,175
22,21,22,21,22,22,22,22,22,230,22,230
23,22,23,22,23,23,23,23,23,247,23,247
26,25,26,25,26,26,26,26,26,310,26,310
27,26,27,26,27,27,27,27,27,306,27,306
29,28,29,28,29,29,29,29,29,405,29,405
29,28,29,28,29,29,29,29,29,385,29,385
29,28,29,28,29,29,29,29,29,385,29,385
32,31,32,31,32,32,32,32,32,451,32,451
32,31,32,31,32,32,32,32,32,475,32,475
32,31,32,31,32,32,32,32,32,418,32,418
33,32,33,32,33,33,33,33,33,518,33,518
38,37,38,37,38,38,38,38,38,658,38,658
39,38,39,38,39,39,39,39,39,720,39,720
39,38,39,38,39,39,39,39,39,731,39,731
40,39,40,39,40,40,40,40,40,780,40,780
41,40,41,40,41,41,41,41,41,799,41,799
42,41,42,41,42,42,42,42,42,861,42,861
43,42,43,42,43,43,43,43,43,902,43,902
44,43,44,43,44,44,44,44,44,931,44,931
45,44,45,44,45,45,45,45,45,984,45,984
45,44,45,44,45,45,45,45,45,899,45,899
45,44,45,44,45,45,45,45,45,945,45,945
47,46,47,46,47,47,47,47,47,1078,47,1078
47,46,47,46,47,47,47,47,47,1071,47,1071
48,47,48,47,48,48,48,48,48,1113,48,1113
49,48,49,48,49,49,49,49,49,1170,49,1170
49,48,49,48,49,49,49,49,49,1173,49,1173
50,49,50,49,50,50,50,50,50,1204,50,1204
50,49,50,49,50,50,50,50,50,1159,50,1159
51,50,51,50,51,51,51,51,51,1260,51,1260
52,51,52,51,52,52,52,52,52,1281,52,1281
52,51,52,51,52,52,52,52,52,1290,52,1290
54,53,54,53,54,54,54,54,54,1425,54,1425
55,54,55,54,55,55,55,55,55,1484,55,1484
55,54,55,54,55,55,55,55,55,1365,55,1365
58,57,58,57,58,58,58,58,58,1653,58,1653
58,57,58,57,58,58,58,58,58,1647,58,1647
59,58,59,58,59,59,59,59,59,1690,59,1690
59,58,59,58,59,59,59,59,59,1666,59,1666
60,59,60,59,60,60,60,60,60,1760,60,1760
60,59,60,59,60,60,60,60,60,1749,60,1749
61,60,61,60,61,61,61,61,61,1710,61,1710
66,65,66,65,66,66,66,66,66,2009,66,2009
69,68,69,68,69,69,69,69,69,2345,69,2345
69,68,69,68,69,69,69,69,69,2345,69,2345
70,69,70,69,70,70,70,70,70,2379,70,2379
71,70,71,70,71,71,71,71,71,2482,71,2482
72,71,72,71,72,72,72,72,72,2553,72,2553
73,72,73,72,73,73,73,73,73,2492,73,2492
73,72,73,72,73,73,73,73,73,2625,73,2625
74,73,74,73,74,74,74,74,74,2691,74,2691
74,73,74,73,74,74,74,74,74,2610,74,2610
76,75,76,75,76,76,76,76,76,2835,76,2835
76,75,76,75,76,76,76,76,76,2805,76,2805
77,76,77,76,77,77,77,77,77,2871,77,2871
78,77,78,77,78,78,78,78,78,2958,78,2958
78,77,78,77,78,78,78,78,78,2813,78,2813
78,77,78,77,78,78,78,78,78,2925,78,2925
79,78,79,78,79,79,79,79,79,3066,79,3066
80,79,80,79,80,80,80,80,80,3082,80,3082
80,79,80,79,80,80,80,80,80,3094,80,3094
81,80,81,80,81,81,81,81,81,3185,81,3185
82,81,82,81,82,82,82,82,82,3321,82,3321
83,82,83,82,83,83,83,83,83,3283,83,3283
83,82,83,82,83,83,83,83,83,3358,83,3358
84,83,84,83,84,84,84,84,84,3471,84,3471
85,84,85,84,85,85,85,85,85,3567,85,3567
87,86,87,86,87,87,87,87,87,3675,87,3675
88,87,88,87,88,88,88,88,88,3708,88,3708
89,88,89,88,89,89,89,89,89,3915,89,3915
89,88,89,88,89,89,89,89,89,3811,89,3811
89,88,89,88,89,89,89,89,89,3913,89,3913
90,89,90,89,90,90,90,90,90,3927,90,3927
91,90,91,90,91,91,91,91,91,4059,91,4059
92,91,92,91,92,92,92,92,92,4033,92,4033
93,92,93,92,93,93,93,93,93,4107,93,4107
93,92,93,92,93,93,93,93,93,4200,93,4200
94,93,94,93,94,94,94,94,94,4218,94,4218
95,94,95,94,95,95,95,95,95,4312,95,4312
95,94,95,94,95,95,95,95,95,4450,95,4450
95,94,95,94,95,95,95,95,95,4410,95,4410
96,95,96,95,96,96,96,96,96,4532,96,4532
97,96,97,96,97,97,97,97,97,4536,97,4536
99,98,99,98,99,99,99,99,99,4841,99,4841
100,99,100,99,100,100,100,100,100,4859,100,4859
100,99,100,99,100,100,100,100,100,4905,100,4905
