N, Complexity
38,210
48,361
18,59
98,681
9,27
23,116
55,1485
99,740
43,362
14,40
51,276
30,122
94,1302
19,171
71,422
73,557
48,1038
73,477
20,64
95,554
94,2535
62,338
5,6
88,816
87,782
57,277
60,352
88,483
3,3
82,596
47,298
35,203
4,6
46,213
39,219
33,199
83,877
51,294
91,662
15,54
12,66
68,447
79,505
98,638
40,225
93,576
78,406
1,0
73,746
23,80
96,625
3,3
55,295
88,704
42,193
4,4
57,565
48,230
96,716
86,590
86,564
63,498
73,396
76,477
29,127
70,579
89,560
77,581
65,399
73,523
61,374
59,321
26,129
85,564
43,489
9,20
43,383
94,625
54,301
44,499
34,185
38,185
92,588
10,29
45,225
49,223
25,125
69,381
43,205
23,133
28,121
92,528
77,444
63,318
64,364
71,491
65,363
61,1771
63,377
22,211
